ID,SMILES,NaClg/L,IE,TempK,Concentrationg/L
10122.0,CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35.0,0.67,298.0,0.01
10123.0,CN(C)c3ccc(C2NC(=S)Nc1[nH]c(=S)[nH]c(=O)c12)cc3,35.0,0.81,298.0,0.05
10124.0,S=c2[nH]c1ccccc1[nH]2,9.945,0.83,343.0,0.15020599999999998
10125.0,S=c2[nH]c1ccccc1[nH]2,9.945,0.87,343.0,0.45061799999999996
10126.0,CCc1nnc(N)s1,9.945,0.44,343.0,0.129188
10127.0,CCc1nnc(N)s1,9.945,0.8,343.0,0.38756399999999996
10128.0,O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35.0,0.249,323.0,0.000300271
10129.0,O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35.0,0.326,323.0,0.0015013550000000002
10130.0,O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35.0,0.504,323.0,0.0030027100000000004
10131.0,O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35.0,0.6629999999999999,323.0,0.015013550000000002
10132.0,O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35.0,0.838,323.0,0.030027100000000004
10133.0,O=S(=O)([O-])c2ccc(O)c(/C=N/c1ccccn1)c2.[Na+],35.0,0.925,323.0,0.1501355
10134.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccccc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.28300000000000003,323.0,0.0005204520000000002
10135.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccccc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.396,323.0,0.002602260000000001
10136.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccccc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.5760000000000001,323.0,0.005204520000000002
10137.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccccc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.7340000000000001,323.0,0.026022600000000014
10138.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccccc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.853,323.0,0.05204520000000003
10139.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccccc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.9570000000000001,323.0,0.2602260000000001
10140.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccc(Cl)cc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.319,323.0,0.0005548970000000002
10141.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccc(Cl)cc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.43700000000000006,323.0,0.002774485000000001
10142.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccc(Cl)cc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.653,323.0,0.005548970000000002
10143.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccc(Cl)cc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.775,323.0,0.02774485000000001
10144.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccc(Cl)cc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.895,323.0,0.05548970000000002
10145.0,O=S(=O)([O-])c3ccc(O)c(/C=N/c1ccc(Cl)cc1/N=C/c2cc(S(=O)(=O)[O-])ccc2O)c3.[Na+].[Na+],35.0,0.986,323.0,0.2774485000000001
10146.0,c2ccc(/C1=N/CCN1)cc2,30.0,0.7509999999999999,293.0,0.1
10147.0,c2ccc(/C1=N/CCN1)cc2,30.0,0.917,293.0,0.2
10148.0,c2ccc(/C1=N/CCN1)cc2,30.0,0.9309999999999999,293.0,0.4
10149.0,c2ccc(/C1=N/CCN1)cc2,30.0,0.9420000000000001,293.0,0.7
10150.0,c2ccc(/C1=N/CCN1)cc2,30.0,0.968,293.0,1.0
10151.0,c2ccc(/C1=N/CCN1)cc2,30.0,0.486,293.0,0.1
10152.0,c2ccc(/C1=N/CCN1)cc2,30.0,0.805,293.0,0.2
10153.0,c2ccc(/C1=N/CCN1)cc2,30.0,0.941,293.0,0.4
10154.0,c2ccc(/C1=N/CCN1)cc2,30.0,0.966,293.0,0.7
10155.0,c2ccc(/C1=N/CCN1)cc2,30.0,0.985,293.0,1.0
10156.0,COC4COC(OC3C(O)C(N(CCC(=O)NCCN(CCC(=O)NCCN)CCC(=O)NCC/N=C(C(=O)c1ccccn1)\c2ccccn2)CCC(=O)NCCN(CCC(=O)NCCN)CCC(=O)NCCNCC(O)C[N+](C)(C)C)C(OC)OC3CO)C(NCC(O)C[N+](C)(C)C)C4O,50.0,0.5005,333.0,0.05
10157.0,COC4COC(OC3C(O)C(N(CCC(=O)NCCN(CCC(=O)NCCN)CCC(=O)NCC/N=C(C(=O)c1ccccn1)\c2ccccn2)CCC(=O)NCCN(CCC(=O)NCCN)CCC(=O)NCCNCC(O)C[N+](C)(C)C)C(OC)OC3CO)C(NCC(O)C[N+](C)(C)C)C4O,50.0,0.8046,333.0,0.1
10158.0,COC4COC(OC3C(O)C(N(CCC(=O)NCCN(CCC(=O)NCCN)CCC(=O)NCC/N=C(C(=O)c1ccccn1)\c2ccccn2)CCC(=O)NCCN(CCC(=O)NCCN)CCC(=O)NCCNCC(O)C[N+](C)(C)C)C(OC)OC3CO)C(NCC(O)C[N+](C)(C)C)C4O,50.0,0.8983,333.0,0.3
10159.0,COC4COC(OC3C(O)C(N(CCC(=O)NCCN(CCC(=O)NCCN)CCC(=O)NCC/N=C(C(=O)c1ccccn1)\c2ccccn2)CCC(=O)NCCN(CCC(=O)NCCN)CCC(=O)NCCNCC(O)C[N+](C)(C)C)C(OC)OC3CO)C(NCC(O)C[N+](C)(C)C)C4O,50.0,0.9442,333.0,0.5
10160.0,Cc3ccc(NC(=O)OCC(CSCCN1CCCCCC1=O)OC(=O)Nc2cc(NC(=O)CCC(O)CO)ccc2C)cc3NC(=O)OCCOC(=O)Nc4ccc(C)c(NC(=O)OCC(C)(O)C(=O)[O-])c4.CC[NH+](CC)CC,24.53,0.5820000000000001,298.0,0.1
10161.0,Cc3ccc(NC(=O)OCC(CSCCN1CCCCCC1=O)OC(=O)Nc2cc(NC(=O)CCC(O)CO)ccc2C)cc3NC(=O)OCCOC(=O)Nc4ccc(C)c(NC(=O)OCC(C)(O)C(=O)[O-])c4.CC[NH+](CC)CC,24.53,0.7879999999999999,298.0,0.25
10162.0,Cc3ccc(NC(=O)OCC(CSCCN1CCCCCC1=O)OC(=O)Nc2cc(NC(=O)CCC(O)CO)ccc2C)cc3NC(=O)OCCOC(=O)Nc4ccc(C)c(NC(=O)OCC(C)(O)C(=O)[O-])c4.CC[NH+](CC)CC,24.53,0.905,298.0,0.5
